Region report						
Network name: APOE-4_4						
Region Name	Degree	Clustering Coefficient	Betweenness Centrality	Module	Regional Efficiency	Participation Coefficient
'left juxtapositional lobule cortex'	0.201834862385	0.571428571429	0.00803897901003	0	0.582568807339	0.53305785124
'right juxtapositional lobule cortex'	0.165137614679	0.718954248366	0.00107806180975	0	0.556574923547	0.37037037037
'left subcallosal cortex'	0.183486238532	0.5	0.00667538921504	0	0.551987767584	0.265
'right subcallosal cortex'	0.165137614679	0.535947712418	0.00405338060478	0	0.550458715596	0.104938271605
'left paracingulate gyrus'	0.284403669725	0.479569892473	0.0146396174539	0	0.623853211009	0.4703433923
'right paracingulate gyrus'	0.238532110092	0.541538461538	0.00476688914745	0	0.585626911315	0.210059171598
'left cingulate gyrus, anterior division'	0.247706422018	0.48433048433	0.0109074806929	0	0.617737003058	0.463648834019
'right cingulate gyrus, anterior division'	0.192660550459	0.547619047619	0.00306004461642	0	0.550458715596	0.244897959184
'left cingulate gyrus, posterior division'	0.247706422018	0.447293447293	0.0152822787019	3	0.622324159021	0.620027434842
'right cingulate gyrus, posterior division'	0.183486238532	0.473684210526	0.00592257621285	3	0.582568807339	0.625
'left precuneous cortex'	0.238532110092	0.412307692308	0.025354343974	3	0.605504587156	0.579881656805
'right precuneous cortex'	0.238532110092	0.421538461538	0.0118994624149	3	0.591743119266	0.636094674556
'left cuneal cortex'	0.110091743119	0.742424242424	0.00127677220403	3	0.5	0.277777777778
'right cuneal cortex'	0.284403669725	0.393548387097	0.0296945874345	3	0.62996941896	0.624349635796
'left frontal orbital cortex'	0.192660550459	0.57619047619	0.00737935062411	1	0.574923547401	0.544217687075
'right frontal orbital cortex'	0.376146788991	0.363414634146	0.0416513808636	0	0.67125382263	0.573468173706
'left parahippocampal gyrus, anterior division'	0.266055045872	0.472906403941	0.0129020703582	0	0.628440366972	0.627824019025
'right parahippocampal gyrus, anterior division'	0.201834862385	0.562770562771	0.00349084203048	0	0.571865443425	0.54132231405
'left parahippocampal gyrus, posterior division'	0.183486238532	0.552631578947	0.00461743485012	3	0.584097859327	0.675
'right parahippocampal gyrus, posterior division'	0.256880733945	0.460317460317	0.0103356399361	0	0.61620795107	0.599489795918
'left lingual gyrus'	0.311926605505	0.390374331551	0.0258023320019	3	0.649847094801	0.622837370242
'right lingual gyrus'	0.256880733945	0.47619047619	0.0114353781073	3	0.613149847095	0.573979591837
'left temporal fusiform cortex, anterior	0.146788990826	0.708333333333	0.00158460653237	1	0.532110091743	0.6171875
'right temporal fusiform cortex, anterior	0.100917431193	0.854545454545	0.000188139977742	0	0.492354740061	0.429752066116
'left temporal fusiform cortex, posterior	0.302752293578	0.486742424242	0.0133813451331	1	0.613149847095	0.394857667585
'right temporal fusiform cortex, posterior	0.183486238532	0.563157894737	0.00747963335155	0	0.585626911315	0.665
'left temporal occipital fusiform cortex'	0.311926605505	0.393939393939	0.0343998919022	1	0.634556574924	0.541522491349
'right temporal occipital fusiform cortex'	0.256880733945	0.444444444444	0.0147428924889	3	0.605504587156	0.65306122449
'left occipital fusiform cortex'	0.385321100917	0.332171893148	0.0624827970663	3	0.683486238532	0.662131519274
'right occipital fusiform cortex'	0.211009174312	0.486166007905	0.0110123373112	3	0.577981651376	0.642722117202
'left frontal opercular cortex'	0.155963302752	0.654411764706	0.001275731916	1	0.50993883792	0.290657439446
'right frontal opercular cortex'	0.220183486239	0.539855072464	0.00563042416396	2	0.562691131498	0.496527777778
'left central opercular cortex'	0.211009174312	0.652173913043	0.00233816880879	1	0.534403669725	0.0831758034026
'right central opercular cortex'	0.256880733945	0.513227513228	0.011995228843	2	0.581039755352	0.336734693878
'left parietal opercular cortex'	0.174311926606	0.72514619883	0.001374955077	1	0.505351681957	0.18836565097
'right parietal opercular cortex'	0.201834862385	0.614718614719	0.00446214195645	2	0.547400611621	0.243801652893
'left planum polare'	0.137614678899	0.828571428571	0.000753037816575	1	0.515290519878	0.231111111111
'right planum polare'	0.183486238532	0.636842105263	0.00292014052314	2	0.542813455657	0.265
'left heschl's gyrus'	0.128440366972	0.824175824176	0.00073036573582	1	0.501529051988	0.132653061224
'right heschl's gyrus'	0.229357798165	0.513333333333	0.00773517451434	2	0.55504587156	0.1472
'left planum temporale'	0.183486238532	0.721052631579	0.00200598702279	1	0.533639143731	0.095
'right planum temporale'	0.192660550459	0.619047619048	0.00393496682602	2	0.5374617737	0.176870748299
'left supracalcarine cortex'	0.110091743119	0.787878787879	0.00101274050829	3	0.493883792049	0.152777777778
'right supracalcarine cortex'	0.155963302752	0.617647058824	0.00418139096605	3	0.548929663609	0.207612456747
'left occipital pole'	0.155963302752	0.625	0.00490466751484	3	0.529051987768	0.207612456747
'right occipital pole'	0.0825688073394	0.972222222222	1,70E+06	3	0.477064220183	0.0
						
Network name: TD132_CCN_DTI						
Region Name	Degree	Clustering Coefficient	Betweenness Centrality	Module	Regional Efficiency	Participation Coefficient
Right Superior Frontal Gyrus	0.0570342205323	0.428571428571	0.0033928144026	0	0.432509505703	0.48
Right Frontal Pole	0.0608365019011	0.533333333333	0.00133440627603	1	0.422053231939	0.375
Right Frontal Pole	0.0532319391635	0.472527472527	0.00256118462397	1	0.415082382763	0.459183673469
Left Paracingulate Gyrus	0.102661596958	0.566951566952	0.00217119340256	1	0.455640050697	0.0
Left Superior Frontal Gyrus	0.0532319391635	0.56043956044	0.000939493618917	1	0.403358681876	0.255102040816
Left Frontal Pole	0.0494296577947	0.641025641026	0.000401882017785	1	0.389733840304	0.0
Left Frontal Pole	0.0494296577947	0.5	0.00124341164813	1	0.413181242079	0.0
Right Frontal Pole	0.0456273764259	0.530303030303	0.00113464077865	1	0.400506970849	0.486111111111
Left Cingulate Gyrus anterior division	0.106463878327	0.669312169312	0.00111132165064	1	0.473384030418	0.191326530612
Left Cingulate Gyrus anterior division	0.155893536122	0.398780487805	0.0133154025383	1	0.524081115336	0.218917311124
Left Superior Frontal Gyrus	0.0684410646388	0.411764705882	0.00570426768592	1	0.425221799747	0.475308641975
Right Cingulate Gyrus anterior division	0.144486692015	0.412517780939	0.00911448895686	1	0.500316856781	0.234072022161
Left Paracingulate Gyrus	0.102661596958	0.592592592593	0.00155521696647	1	0.455640050697	0.0
Right Paracingulate Gyrus	0.133079847909	0.510924369748	0.00576448544405	1	0.508238276299	0.210612244898
Left Cingulate Gyrus anterior division	0.140684410646	0.524024024024	0.00397210523668	1	0.5	0.192841490139
Left Paracingulate Gyrus	0.102661596958	0.635327635328	0.00144654049002	1	0.473067173638	0.203017832647
Right Middle Frontal Gyrus	0.0380228136882	0.488888888889	0.00096319227374	0	0.373384030418	0.18
Right Precentral Gyrus	0.0494296577947	0.487179487179	0.00152773621161	0	0.399809885932	0.0
Right Superior Frontal Gyrus	0.0874524714829	0.316205533597	0.012471264349	1	0.49144486692	0.589792060491
Right Middle Frontal Gyrus	0.0874524714829	0.407114624506	0.00676585753162	0	0.467046894804	0.423440453686
Right Middle Frontal Gyrus	0.0722433460076	0.368421052632	0.00350076855551	0	0.443599493029	0.265927977839
Right Middle Frontal Gyrus	0.0570342205323	0.438095238095	0.00232692955879	0	0.411596958175	0.231111111111
Right Frontal Pole	0.0798479087452	0.466666666667	0.00385370249475	0	0.457224334601	0.362811791383
Right Frontal Pole	0.0874524714829	0.387351778656	0.00787730919393	0	0.488276299113	0.525519848771
Right Cingulate Gyrus anterior division	0.12927756654	0.377896613191	0.00871650138618	1	0.485107731305	0.250865051903
Left Paracingulate Gyrus	0.102661596958	0.490028490028	0.00370046010478	1	0.456590621039	0.0
Right Frontal Pole	0.0532319391635	0.626373626374	0.000505437254999	1	0.404309252218	0.132653061224
Left Cingulate Gyrus anterior division	0.0874524714829	0.628458498024	0.00138679736704	1	0.449302915082	0.0
Right Paracingulate Gyrus	0.0798479087452	0.557142857143	0.00186433362701	1	0.442332065906	0.0907029478458
Left Cingulate Gyrus anterior division	0.102661596958	0.472934472934	0.00423833747683	1	0.467997465146	0.260631001372
Right Paracingulate Gyrus	0.0798479087452	0.4	0.00466540466011	1	0.459125475285	0.471655328798
Left Paracingulate Gyrus	0.0988593155894	0.341538461538	0.0087875248763	1	0.495247148289	0.62426035503
Right Paracingulate Gyrus	0.0798479087452	0.419047619048	0.00516737031942	1	0.455956907478	0.444444444444
Left Paracingulate Gyrus	0.0684410646388	0.418300653595	0.00324051679731	1	0.446134347275	0.586419753086
Right Frontal Pole	0.0532319391635	0.505494505495	0.000914060054265	1	0.442015209125	0.561224489796
Left Frontal Pole	0.136882129278	0.226984126984	0.0299329149418	0	0.529150823828	0.677469135802
Left Frontal Pole	0.0684410646388	0.424836601307	0.00339808393669	1	0.462927756654	0.648148148148
Right Frontal Medial Cortex	0.0456273764259	0.621212121212	0.000855998965534	0	0.410012674271	0.486111111111
Right Frontal Medial Cortex	0.0722433460076	0.461988304094	0.0031060136648	0	0.452154626109	0.542936288089
Right Frontal Pole	0.0684410646388	0.509803921569	0.00124463587861	0	0.427122940431	0.277777777778
Right Frontal Orbital Cortex	0.0798479087452	0.514285714286	0.00446983885092	0	0.458808618504	0.321995464853
Right Frontal Orbital Cortex	0.0836501901141	0.532467532468	0.00231799308979	0	0.455323193916	0.235537190083
Right Temporal Pole	0.06463878327	0.544117647059	0.0012668452416	0	0.412547528517	0.110726643599
Right Frontal Pole	0.0874524714829	0.466403162055	0.00253716079981	0	0.468948035488	0.0831758034026
Right Frontal Pole	0.117870722433	0.296774193548	0.0222966490725	0	0.52598225602	0.441207075963
Right Temporal Pole	0.0798479087452	0.519047619048	0.00195973476965	0	0.446768060837	0.0907029478458
Right Inferior Temporal Gyrus anterior division	0.0532319391635	0.307692307692	0.00410798172845	0	0.431875792142	0.132653061224
Right Frontal Pole	0.125475285171	0.460227272727	0.00486455990644	0	0.493662864385	0.115702479339
Right Inferior Frontal Gyrus pars triangularis	0.102661596958	0.438746438746	0.00487640378484	0	0.462610899873	0.0
Right Frontal Pole	0.06463878327	0.558823529412	0.000672345934788	0	0.416983523447	0.0
Right Inferior Frontal Gyrus pars triangularis	0.0684410646388	0.640522875817	0.000502077719261	0	0.428390367554	0.0
Right Insular Cortex	0.0684410646388	0.725490196078	0.000399174449948	0	0.4309252218	0.0
Right Putamen	0.148288973384	0.336032388664	0.0128487611976	0	0.52154626109	0.260355029586
Right Frontal Orbital Cortex	0.0874524714829	0.553359683794	0.00118404147674	0	0.441064638783	0.0
Right Insular Cortex	0.133079847909	0.403361344538	0.00708244587926	0	0.505386565272	0.207346938776
Right Pallidum	0.114068441065	0.377011494253	0.00607238630595	0	0.49588086185	0.357777777778
Right Superior Temporal Gyrus anterior division	0.0722433460076	0.520467836257	0.00151153412013	0	0.436628643853	0.0997229916898
Right Insular Cortex	0.144486692015	0.371266002845	0.00863125242426	0	0.515209125475	0.148199445983
Right Central Opercular Cortex	0.102661596958	0.45584045584	0.00457364731103	0	0.471799746515	0.0713305898491
Right Putamen	0.186311787072	0.283163265306	0.0229375381069	0	0.553865652725	0.214910453978
Right Insular Cortex	0.182509505703	0.326241134752	0.0176326125888	0	0.544676806084	0.155381944444
Right Putamen	0.163498098859	0.320044296788	0.013136091969	0	0.532319391635	0.245538128718
Right Insular Cortex	0.0494296577947	0.692307692308	0.00016429360699	0	0.412230671736	0.0
Right Insular Cortex	0.140684410646	0.291291291291	0.0337409587633	0	0.538022813688	0.243973703433
Right Central Opercular Cortex	0.106463878327	0.378306878307	0.00675209104248	0	0.484790874525	0.135204081633
Right Parietal Operculum Cortex	0.0760456273764	0.457894736842	0.00190492841833	0	0.422686945501	0.0
Right Precentral Gyrus	0.06463878327	0.477941176471	0.00203239045776	1	0.446768060837	0.498269896194
Right Planum Temporale	0.102661596958	0.347578347578	0.00961070009916	0	0.476869455006	0.139917695473
Right Superior Parietal Lobule	0.0950570342205	0.386666666667	0.00972230780244	0	0.479404309252	0.4352
Right Postcentral Gyrus	0.041825095057	0.563636363636	0.000354038520561	0	0.384664131812	0.0
Right Superior Temporal Gyrus posterior division	0.06463878327	0.566176470588	0.00165856807872	0	0.427439797212	0.0
Right Lateral Occipital Cortex superior division	0.0874524714829	0.418972332016	0.00374278999531	0	0.483206590621	0.525519848771
Right Supramarginal Gyrus posterior division	0.106463878327	0.388888888889	0.00418133581963	0	0.447718631179	0.0
Right Supramarginal Gyrus anterior division	0.0798479087452	0.433333333333	0.00270241519666	0	0.429974651458	0.0
Right Angular Gyrus	0.0874524714829	0.458498023715	0.00431641950887	0	0.44835234474	0.0831758034026
Right Lateral Occipital Cortex superior division	0.06463878327	0.529411764706	0.000795069764772	0	0.413181242079	0.0
Right Supramarginal Gyrus posterior division	0.102661596958	0.401709401709	0.00424369857819	0	0.442965779468	0.0
Right Precentral Gyrus	0.0836501901141	0.441558441558	0.00222995110461	0	0.434093789607	0.0867768595041
Right Precentral Gyrus	0.0570342205323	0.361904761905	0.00270720242639	0	0.414765525982	0.124444444444
Right Postcentral Gyrus	0.0304182509506	0.678571428571	7,31E+06	0	0.360139416984	0.0
Right Superior Parietal Lobule	0.0912547528517	0.489130434783	0.0040301667715	0	0.472750316857	0.152777777778
Right Postcentral Gyrus	0.041825095057	0.781818181818	0.000142061909076	0	0.369708491762	0.0
Right Postcentral Gyrus	0.06463878327	0.536764705882	0.00115245702906	0	0.403358681876	0.0
Right Postcentral Gyrus	0.06463878327	0.639705882353	0.000961189644964	0	0.408745247148	0.207612456747
Right Angular Gyrus	0.0722433460076	0.514619883041	0.00107258883069	0	0.40525982256	0.0
Right Angular Gyrus	0.0608365019011	0.55	0.000842357923835	0	0.407160963245	0.0
Right Superior Temporal Gyrus posterior division	0.0608365019011	0.566666666667	0.00129860188276	0	0.429340937896	0.0
Right Middle Temporal Gyrus temporooccipital part	0.0456273764259	0.666666666667	0.000399511205124	0	0.392585551331	0.0
Right Lateral Occipital Cortex superior division	0.125475285171	0.392045454545	0.00805418325269	0	0.491761723701	0.168962350781
Right Precentral Gyrus	0.0798479087452	0.461904761905	0.00321317918128	0	0.425221799747	0.172335600907
Right Precentral Gyrus	0.0798479087452	0.471428571429	0.00403183459464	0	0.4309252218	0.244897959184
Right Lateral Occipital Cortex superior division	0.15969581749	0.32868757259	0.022634534742	0	0.533586818758	0.624716553288
Right Precentral Gyrus	0.0684410646388	0.437908496732	0.00453550441396	0	0.444550063371	0.475308641975
Right Superior Frontal Gyrus	0.0836501901141	0.428571428571	0.00601121682659	1	0.459759188847	0.433884297521
Right Thalamus	0.182509505703	0.228723404255	0.030132233475	0	0.571609632446	0.65625
Right Superior Parietal Lobule	0.114068441065	0.326436781609	0.0177028103201	1	0.507921419518	0.588888888889
Right Thalamus	0.0950570342205	0.376666666667	0.00481713839007	0	0.488276299113	0.4928
Right Superior Frontal Gyrus	0.0988593155894	0.384615384615	0.00999556953389	1	0.503802281369	0.41124260355
Right Postcentral Gyrus	0.0722433460076	0.608187134503	0.00101594663828	1	0.438846641318	0.193905817175
Right Thalamus	0.0950570342205	0.42	0.00379251325964	0	0.488910012674	0.4032
Left Precentral Gyrus	0.133079847909	0.383193277311	0.010078269553	1	0.518377693283	0.419591836735
Right Juxtapositional Lobule Cortex	0.102661596958	0.401709401709	0.00885506511556	1	0.502534854246	0.312757201646
Left Superior Frontal Gyrus	0.06463878327	0.389705882353	0.00235259563442	1	0.459759188847	0.512110726644
Left Superior Frontal Gyrus	0.125475285171	0.327651515152	0.0190314822896	1	0.514575411914	0.578512396694
Left Thalamus	0.0874524714829	0.438735177866	0.00317920286494	1	0.487959442332	0.574669187146
Left Thalamus	0.0798479087452	0.42380952381	0.0045653476646	0	0.496197718631	0.702947845805
Left Postcentral Gyrus	0.0988593155894	0.421538461538	0.00510636706783	1	0.48257287706	0.494082840237
Left Postcentral Gyrus	0.117870722433	0.354838709677	0.0106450294576	1	0.501584283904	0.549427679501
Left Lateral Occipital Cortex superior division	0.0570342205323	0.466666666667	0.0033597897294	1	0.43948035488	0.524444444444
Right Precentral Gyrus	0.0874524714829	0.470355731225	0.0034484524875	1	0.475285171103	0.404536862004
Left Postcentral Gyrus	0.0912547528517	0.460144927536	0.005529153718	1	0.491128010139	0.489583333333
Left Juxtapositional Lobule Cortex	0.0950570342205	0.636666666667	0.000888447382483	1	0.453422053232	0.0768
Right Postcentral Gyrus	0.110266159696	0.43842364532	0.0052077790372	1	0.488593155894	0.340071343639
Right Precentral Gyrus	0.0836501901141	0.562770562771	0.00130346451772	1	0.450253485425	0.235537190083
Brain-Stem	0.140684410646	0.297297297297	0.0172046453192	1	0.531051964512	0.701241782323
Left Precentral Gyrus	0.0874524714829	0.584980237154	0.00110724078564	1	0.444233206591	0.0831758034026
Left Postcentral Gyrus	0.110266159696	0.416256157635	0.00721863867663	1	0.502534854246	0.354340071344
Right Cingulate Gyrus anterior division	0.12927756654	0.561497326203	0.00236343441258	1	0.481305449937	0.110726643599
Right Precentral Gyrus	0.0874524714829	0.624505928854	0.000699729595893	1	0.449302915082	0.0
Left Juxtapositional Lobule Cortex	0.136882129278	0.490476190476	0.0040131857987	1	0.488910012674	0.197530864198
Right Lateral Occipital Cortex superior division	0.0722433460076	0.549707602339	0.00105755315293	1	0.440114068441	0.277008310249
Right Precentral Gyrus	0.114068441065	0.542528735632	0.00157525175579	1	0.463244613435	0.0
Left Precuneous Cortex	0.110266159696	0.470443349754	0.00359167688843	1	0.472116603295	0.190249702735
Left Precentral Gyrus	0.155893536122	0.414634146341	0.012083826104	1	0.520912547529	0.333135038667
Left Cingulate Gyrus posterior division	0.102661596958	0.581196581197	0.00120787271253	1	0.459759188847	0.137174211248
Right Precuneous Cortex	0.12927756654	0.433155080214	0.00573151436065	1	0.483523447402	0.212802768166
Right Precuneous Cortex	0.133079847909	0.494117647059	0.00321205639458	1	0.477503168568	0.107755102041
Left Cingulate Gyrus posterior division	0.102661596958	0.626780626781	0.00108073045488	1	0.450570342205	0.137174211248
Right Cingulate Gyrus posterior division	0.133079847909	0.468907563025	0.00821453030506	1	0.502534854246	0.251428571429
Right Cingulate Gyrus posterior division	0.152091254753	0.5	0.00482381053134	1	0.513307984791	0.445
Right Precuneous Cortex	0.171102661597	0.359595959596	0.0222126683496	1	0.542141951838	0.636049382716
Right Precuneous Cortex	0.0988593155894	0.596923076923	0.00111596137623	1	0.4654626109	0.520710059172
Right Precuneous Cortex	0.114068441065	0.52183908046	0.00381498191308	2	0.502851711027	0.651111111111
Right Precuneous Cortex	0.15969581749	0.451800232288	0.0110503169054	1	0.534220532319	0.552154195011
Left Precuneous Cortex	0.140684410646	0.540540540541	0.00316166959706	1	0.50443599493	0.467494521549
Left Cingulate Gyrus posterior division	0.106463878327	0.687830687831	0.000850379681107	1	0.471482889734	0.293367346939
Right Intracalcarine Cortex	0.15969581749	0.325203252033	0.0146372078086	2	0.527566539924	0.563492063492
Right Cuneal Cortex	0.12927756654	0.467023172906	0.00644345672536	2	0.510139416984	0.628027681661
Right Cuneal Cortex	0.121673003802	0.528225806452	0.00441449900539	2	0.496831432193	0.607421875
Right Intracalcarine Cortex	0.117870722433	0.425806451613	0.00550824465699	2	0.503485424588	0.547346514048
Right Intracalcarine Cortex	0.0912547528517	0.648550724638	0.00140385027228	2	0.471482889734	0.53125
Left Cingulate Gyrus posterior division	0.178707224335	0.432007400555	0.0158369170956	1	0.54752851711	0.545043005885
Left Precuneous Cortex	0.110266159696	0.495073891626	0.00551422324739	2	0.498098859316	0.703923900119
Left Cuneal Cortex	0.102661596958	0.615384615385	0.00147455967766	2	0.481622306717	0.565157750343
Left Precuneous Cortex	0.144486692015	0.487908961593	0.00708475357458	2	0.52154626109	0.569252077562
Left Cuneal Cortex	0.144486692015	0.411095305832	0.0132550690513	2	0.535487959442	0.696675900277
Left Intracalcarine Cortex	0.117870722433	0.436559139785	0.00543757228533	2	0.512040557668	0.568158168574
Left Intracalcarine Cortex	0.155893536122	0.379268292683	0.01234572414	2	0.537389100127	0.612730517549
Left Hippocampus	0.197718631179	0.289592760181	0.0278797195381	2	0.567173637516	0.661982248521
Left Lingual Gyrus	0.15969581749	0.389082462253	0.0118510416879	2	0.539290240811	0.544217687075
Left Occipital Pole	0.0760456273764	0.552631578947	0.00150889872098	2	0.465779467681	0.535
Left Lingual Gyrus	0.133079847909	0.341176470588	0.017864538754	2	0.514892268695	0.452244897959
Left Lateral Occipital Cortex superior division	0.152091254753	0.29358974359	0.0253115636881	3	0.529467680608	0.6075
Left Lateral Occipital Cortex superior division	0.0722433460076	0.584795321637	0.00283367288688	3	0.441064638783	0.349030470914
Left Occipital Pole	0.0798479087452	0.461904761905	0.00518263148995	2	0.458491761724	0.394557823129
Left Lateral Occipital Cortex superior division	0.0874524714829	0.430830039526	0.00762335117074	3	0.473067173638	0.514177693762
Left Occipital Pole	0.114068441065	0.303448275862	0.0187352340631	3	0.5	0.668888888889
Left Lateral Occipital Cortex superior division	0.0912547528517	0.496376811594	0.00259181990867	3	0.473067173638	0.434027777778
Left Parahippocampal Gyrus anterior division	0.0950570342205	0.323333333333	0.00731198455204	2	0.491128010139	0.6816
Left Lateral Occipital Cortex inferior division	0.0798479087452	0.404761904762	0.00553197272941	2	0.467680608365	0.580498866213
