0.0000		0.0000		0.0000
-0.0005		0.0026		-0.0412
0.0010		0.0015		-0.4919
0.0008		-0.0003		-0.2957
0.0036		-0.0008		-0.6014
0.0002		-0.0005		-0.1734
-0.0001		0.0002		0.1198
-0.0001		-0.0015		0.0068
-0.0000		-0.0028		-0.0332
-0.0006		-0.0047		0.0681
-0.0009		-0.0024		0.1616
-0.0011		-0.0041		-0.3894
-0.0007		-0.0058		-0.1991
-0.0019		-0.0034		-0.3932
-0.0003		-0.0034		-0.6387
0.0003		-0.0019		-0.6804
0.0007		-0.0006		-0.5860
0.0013		0.0003		-0.5041
0.0042		-0.0017		-0.5788
0.0032		0.0004		-0.4605
0.0037		0.0008		-0.2406
0.0036		0.0005		-0.2284
0.0033		0.0009		-0.5899
0.0042		0.0001		-0.3667
0.0048		-0.0009		0.1680
0.0036		-0.0014		-0.2112
0.0045		-0.0012		-0.3232
0.0034		-0.0007		-0.0375
0.0020		-0.0008		0.2719
0.0026		0.0001		0.1013
0.0016		0.0012		-0.2475
0.0016		0.0027		-0.2978
0.0007		0.0030		-0.3491
0.0013		0.0034		-0.4984
0.0006		0.0016		-0.4152
0.0025		0.0017		-0.5030
0.0019		0.0043		-0.6327
0.0031		0.0041		-0.4841
0.0029		0.0025		-0.3269
0.0018		0.0021		-0.3205
-0.0002		0.0029		-0.7551
0.0001		0.0012		-1.1930
-0.0009		0.0021		-1.1456
-0.0008		0.0025		-1.0249
-0.0006		0.0032		-1.0721
-0.0017		0.0042		-1.0502
-0.0018		0.0045		-1.0370
-0.0018		0.0030		-1.2404
-0.0019		0.0009		-1.1810
-0.0026		0.0013		-0.9976
-0.0036		0.0022		-0.9933
-0.0040		0.0007		-0.3484
-0.0034		0.0007		-0.3854
-0.0038		0.0021		-0.7246
-0.0041		0.0025		-0.3379
-0.0036		0.0007		-0.2604
-0.0008		-0.0010		-0.0151
-0.0004		-0.0009		0.0683
-0.0013		-0.0006		-0.0431
-0.0002		-0.0010		0.2321
0.0007		-0.0005		0.4390
0.0019		-0.0016		0.5644
0.0034		-0.0044		0.3872
0.0026		-0.0041		0.3971
0.0024		-0.0043		0.4397
0.0034		-0.0045		0.3954
0.0043		-0.0036		0.2752
0.0033		-0.0031		0.1995
0.0009		-0.0033		0.0392
-0.0006		-0.0030		0.3196
-0.0007		-0.0034		0.6223
0.0003		-0.0023		0.9698
-0.0014		-0.0004		1.0754
-0.0014		0.0005		0.8463
-0.0006		0.0011		0.7345
-0.0027		0.0005		0.5540
-0.0037		0.0001		0.5911
-0.0022		0.0002		0.3691
-0.0016		0.0008		0.4693
-0.0017		0.0026		0.6725
-0.0001		0.0025		0.4586
-0.0017		0.0017		0.2356
-0.0013		0.0022		0.0749
-0.0009		0.0009		0.3332
-0.0020		0.0009		0.5287
-0.0015		0.0010		0.4653
-0.0025		0.0007		0.4485
-0.0037		0.0005		0.3407
-0.0041		0.0018		0.1695
-0.0039		0.0006		0.2499
-0.0018		0.0001		0.3478
-0.0035		0.0011		0.5938
-0.0030		0.0018		0.3547
-0.0021		0.0011		0.2735
-0.0024		0.0020		-0.0741
-0.0030		0.0027		-0.1600
-0.0036		0.0023		-0.0560
-0.0008		0.0026		-0.3732
-0.0005		0.0022		-0.6541
-0.0005		0.0005		-0.6063
-0.0014		0.0000		-0.2380
0.0005		-0.0012		-0.1803
-0.0019		-0.0022		-0.3098
-0.0027		-0.0022		-0.4337
-0.0038		-0.0022		-0.4750
-0.0032		-0.0038		-0.3805
-0.0054		-0.0020		-0.6954
-0.0047		-0.0021		-0.6282
-0.0036		0.0009		-0.6829
-0.0024		-0.0000		-0.7589
-0.0017		-0.0026		-0.9511
-0.0022		-0.0040		-1.0312
-0.0034		-0.0042		-0.5918
-0.0030		-0.0051		-0.2000
-0.0039		-0.0043		-0.1804
-0.0043		-0.0050		-0.0289
-0.0053		-0.0040		0.3901
-0.0072		-0.0034		0.2832
-0.0056		-0.0024		0.2674
-0.0057		-0.0034		0.4250
-0.0045		-0.0020		-0.0564
-0.0038		-0.0020		-0.2556
-0.0052		-0.0030		0.0696
-0.0040		-0.0033		0.1613
-0.0035		-0.0036		0.2801
-0.0030		-0.0015		0.3110
-0.0035		-0.0012		0.4067
-0.0023		0.0005		0.1115
-0.0002		0.0006		0.1345
-0.0005		0.0001		0.1569
-0.0004		0.0003		0.0396
-0.0002		0.0002		0.3930
-0.0005		-0.0011		0.8380
-0.0012		-0.0016		0.7777
-0.0005		-0.0032		0.5932
0.0017		-0.0036		0.4415
0.0007		-0.0035		0.0647
-0.0002		-0.0048		0.0851
0.0005		-0.0041		0.6557
-0.0008		-0.0035		0.2572
-0.0002		-0.0036		-0.0975
-0.0017		-0.0027		-0.1203
-0.0011		-0.0019		-0.3684
-0.0010		-0.0026		-0.3898
-0.0001		-0.0023		-0.7259
0.0001		-0.0027		-0.7115
-0.0006		-0.0026		-0.2469
0.0012		-0.0015		-0.5709
0.0013		-0.0005		-0.4845
0.0003		0.0001		-0.3165
